variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
RET-อัพเดท-R4-FLASHSALE,Galaxy S26 Ultra,N/A,STANDARD_SM,STANDARD_PAYMENT,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,4,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-อัพเดท-R5-FLASHSALE,Galaxy S26 Ultra,N/A,STANDARD_SM,STANDARD_PAYMENT,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,5,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-อัพเดท-R6-FLASHSALE,Galaxy S26 Ultra,N/A,STANDARD_SM,STANDARD_PAYMENT,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,6,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-อัพเดท-R24-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,24,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-อัพเดท-R25-TRADEUP,Galaxy Z Flip8,N/A,STANDARD_SM,TRADE_UP,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,25,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-อัพเดท-R39-FLASHSALE,"Galaxy A17 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,STANDARD_SM,STANDARD_PAYMENT,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,39,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-19 -27-R4-SF_PLUS,Galaxy S26 Ultra,N/A,STANDARD_SM,SF_PLUS,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,4,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-19 -27-R4-TRADEUP,Galaxy S26 Ultra,N/A,STANDARD_SM,TRADE_UP,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,4,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-19 -27-R4-FLASHSALE,Galaxy S26 Ultra,N/A,STANDARD_SM,STANDARD_PAYMENT,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,4,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-19 -27-R5-SF_PLUS,Galaxy S26 Ultra,N/A,STANDARD_SM,SF_PLUS,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,5,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-19 -27-R5-TRADEUP,Galaxy S26 Ultra,N/A,STANDARD_SM,TRADE_UP,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,5,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-19 -27-R5-STUDENT,Galaxy S26 Ultra,N/A,STANDARD_SM,STUDENT,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,5,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
RET-19 -27-R5-FLASHSALE,Galaxy S26 Ultra,N/A,STANDARD_SM,STANDARD_PAYMENT,QUARANTINED_UNPROVEN,Quarantined by Rule Engine: QUARANTINED_UNPROVEN. Strictly prohibited from retail sale.,Promotion Retail Aug 2026.xlsx,19 -27  Aug,5,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
