P/N,Model,Capacity,Color,Product Code Type,Is Naked Device (SM-),Is Pass F (F-),Baseline RRP,Allowed Sale Modes,Source Sheet,Source Row,Col G / Discount Amount,Discount Nature,Exact P/N in Source Row,F-NS971BLVGTHL SF+ Status,Audit Decision,Error Codes
F-NS971BLVDTHL,Galaxy Z Fold 8 12/256GB  รหัส F,256GB,Lavender,PASS_F,FALSE,TRUE,61900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,118,1000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS971BZKDTHL,Galaxy Z Fold 8 12/256GB  รหัส F,256GB,Graphite,PASS_F,FALSE,TRUE,61900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,119,1000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS971BZWDTHL,Galaxy Z Fold 8 12/256GB  รหัส F,256GB,Cream,PASS_F,FALSE,TRUE,61900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,120,1000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS971BLVGTHL,Galaxy Z Fold 8 12/512GB  รหัส F,512GB,Lavender,PASS_F,FALSE,TRUE,69900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,121,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)","BLOCKED (SF+ Net 64,900 quarantined per mandate)","BLOCKED (SF+ Net 64,900 changed from SF_PLUS to BLOCKED)",PROMOTION_TYPE_NOT_PROVEN
F-NS971BZKGTHL,Galaxy Z Fold 8 12/512GB  รหัส F,512GB,Graphite,PASS_F,FALSE,TRUE,69900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,122,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS971BZWGTHL,Galaxy Z Fold 8 12/512GB  รหัส F,512GB,Cream,PASS_F,FALSE,TRUE,69900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,123,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS971BLVHTHL,Galaxy Z Fold 8 16/1TB  รหัส F,1TB,Lavender,PASS_F,FALSE,TRUE,85900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,124,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS971BZKHTHL,Galaxy Z Fold 8 16/1TB  รหัส F,1TB,Graphite,PASS_F,FALSE,TRUE,85900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,125,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
F-NS971BZWHTHL,Galaxy Z Fold 8 16/1TB  รหัส F,1TB,Cream,PASS_F,FALSE,TRUE,85900.0,"NORMAL, LAUNCH_PASS_F (BLOCKED)",Promotion,126,5000.0,UNPROVEN (Row text says 'โปรเครื่องเปล่า ไม่ร่วมเทรดอัพ' but P/N is Pass F),"YES (P/N present in Stock.xlsx row, but promo nature unproven)",N/A,BLOCKED (Promotional variants quarantined; NORMAL Baseline Active),PROMOTION_TYPE_NOT_PROVEN
SM-F971BLVDTHL,Galaxy Z Fold 8 12/256GB,256GB,Lavender,STANDARD_SM,TRUE,FALSE,61900.0,NORMAL,Promotion,127,0,NONE (RRP Standard Only),"YES (Stock.xlsx Promotion sheet row has Exact P/N, but Col G is empty)",N/A,"PASSED (NORMAL Only, Net = RRP, No Discount)",-
